,YEAR,COUNT_PER_TEN_DAYS,PRODUCT_CODE,MIN_PRODUCT_COST,MAX_PRODUCT_COST,AVG_PRODUCT_COST,UNIT
274,2021,5,215,1979.0,2095.5,2055.5,kg
275,2021,5,221,14870.0,17370.0,16170.0,개
276,2021,5,223,1267.4466666666667,1483.665,1378.833,개
277,2021,5,224,1338.0,1444.0,1399.1,kg
278,2021,5,225,2864.0,3133.0,2999.6,kg
279,2021,5,226,7740.0,8660.0,8136.0,kg
280,2021,5,231,389.2,448.25,415.88,kg
281,2021,5,232,1391.3333333333333,1411.3333333333333,1401.9999999999998,kg
282,2021,5,233,1966.5,2233.0,2131.4,kg
283,2021,5,241,28563.333333333332,28688.333333333332,28588.333333333332,kg
284,2021,5,242,6800.0,8682.666666666666,7964.666666666666,kg
285,2021,5,243,5166.0,6322.0,5840.8,kg
286,2021,5,244,5281.333333333333,5281.333333333333,5281.333333333333,kg
287,2021,5,245,2072.5,2123.0,2097.1,kg
288,2021,5,246,5517.0,5927.0,5719.0,kg
289,2021,5,247,6665.0,6671.666666666667,6667.666666666667,kg
290,2021,5,252,5238.666666666667,5992.0,5602.133333333333,kg
291,2021,5,253,6660.0,7690.0,7084.0,kg
292,2021,5,255,6185.0,7316.0,6784.2,kg
293,2021,5,256,5202.0,6806.0,5931.6,kg
294,2021,5,257,3955.0,3955.0,3955.0,kg
295,2021,5,258,6920.0,6945.0,6930.0,kg
296,2021,5,422,3234.5,3516.5,3350.4,kg
297,2021,5,312,17556.666666666668,17593.333333333336,17564.666666666668,kg
298,2021,5,313,11937.28888888889,11969.881481481481,11950.325925925927,kg
299,2021,5,314,12950.0,13322.216666666667,13077.776666666667,kg
300,2021,5,315,3008.0,3301.25,3135.95,kg
301,2021,5,316,1812.6,1879.0,1849.8799999999999,kg
302,2021,5,317,3283.0,3533.0,3403.0,kg
303,2021,5,411,5877.0,6314.0,6085.0,kg
304,2021,5,412,5034.666666666666,5152.666666666666,5105.466666666667,kg
305,2021,5,414,14795.0,14795.0,14795.0,kg
306,2021,5,415,4743.083333333333,5250.333333333334,5041.216666666666,kg
307,2021,5,416,4104.0,4144.0,4124.0,kg
308,2021,5,418,1820.0,1896.9230769230771,1853.8461538461538,kg
309,2021,5,419,4115.0,4115.0,4115.0,kg
310,2021,5,420,1684.1666666666667,1684.1666666666667,1684.1666666666667,kg
311,2021,5,421,3704.4444444444443,3748.8888888888887,3735.5555555555557,kg
312,2021,5,424,4002.3529411764703,4002.3529411764703,4002.35294117647,kg
313,2021,5,425,13568.0,13848.0,13682.0,kg
314,2021,5,428,9196.0,9984.0,9692.8,kg
315,2021,5,222,5480.0,5480.0,5480.0,kg
316,2021,6,111,2834.5,2841.0,2836.3571428571427,kg
317,2021,6,112,3200.0,3215.0,3209.285714285714,kg
318,2021,6,141,5377.621428571429,5427.627380952382,5399.865986394559,kg
319,2021,6,142,9664.583333333334,9664.583333333334,9664.583333333334,kg
320,2021,6,143,13782.916666666666,13799.583333333334,13787.678571428569,kg
321,2021,6,144,3700.0,4250.0,3942.8571428571427,kg
322,2021,6,151,4199.0,4279.0,4239.0,kg
323,2021,6,152,1654.0,1714.0,1680.2857142857142,kg
324,2021,6,211,902.4,981.2,955.6857142857143,kg
325,2021,6,212,619.0,715.5,648.8571428571429,kg
326,2021,6,213,2144.0,2860.75,2568.714285714286,kg
327,2021,6,214,2810.375,4008.75,3224.910714285714,kg
328,2021,6,215,1820.5,2137.0,1925.5,kg
329,2021,6,221,17170.0,17970.0,17564.285714285714,개
330,2021,6,222,6759.0,7773.0,7210.25,kg
331,2021,6,223,1513.445,1861.6116666666667,1636.2933333333333,개
332,2021,6,224,1578.5,2372.5,2076.785714285714,kg
333,2021,6,225,3153.0,3253.0,3213.0,kg
334,2021,6,226,7940.0,9200.0,8830.0,kg
335,2021,6,231,373.3,417.2,398.3714285714286,kg
336,2021,6,232,1398.0,1431.3333333333333,1416.0,kg
337,2021,6,233,2120.5,2690.0,2411.714285714286,kg
338,2021,6,241,28401.666666666668,28563.333333333332,28540.238095238095,kg
339,2021,6,242,7235.333333333333,8263.5,7688.5,kg
340,2021,6,243,9030.0,10710.0,9798.42857142857,kg
341,2021,6,244,5281.333333333333,5328.0,5304.190476190476,kg
342,2021,6,245,1872.5,2048.5,1966.357142857143,kg
343,2021,6,246,4467.0,5477.0,4977.714285714285,kg
344,2021,6,247,6318.333333333333,6625.0,6493.571428571429,kg
345,2021,6,252,3878.666666666667,4911.333333333334,4316.666666666667,kg
346,2021,6,253,6690.0,10080.0,8174.285714285715,kg
